experiment_name, lr, init_std, l2_reg, num_train, batch_size, bond_dim, num_epochs, num_test, dynamic_mode, periodic_bc, loss, train_acc, test_acc
OPEN_BC, 0.0525757076653036, 1.246800985033351e-10, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 9.754382317603588e+24, 0.092, 0.10779999999999998
OPEN_BC, 0.0001095639086678474, 4.691822125825013e-12, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 1.1213650703430176, 0.627, 0.6315999999999999
OPEN_BC, 0.00016076961766727614, 2.4436613919228287e-10, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 0.6419587731361389, 0.8299999999999998, 0.7458
OPEN_BC, 0.506478770105566, 5.961160578519485e-11, 0.0, 1000, 100, 15, 10, 5000, 0, 0, -1, -1, -1
OPEN_BC, 3.7064717944013763e-07, 3.4882639178731207e-09, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.3025832176208496, 0.11599999999999999, 0.11419999999999997
OPEN_BC, 0.015700199231237576, 1.1785578036199578e-10, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 3.3561019897460938, 0.08299999999999999, 0.08099999999999997
OPEN_BC, 0.001, 0.0001, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 1.6052236557006836, 0.519, 0.48160000000000003
OPEN_BC, 1.5599919133412828e-06, 2.529475204807108e-15, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.3025224208831787, 0.11599999999999999, 0.11419999999999997
OPEN_BC, 3.200610073488344e-08, 5.1208188209913086e-08, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.3025827407836914, 0.11399999999999999, 0.10200000000000001
OPEN_BC, 0.0005901658271439452, 4.634526528816005e-08, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 1.0447620153427124, 0.7310000000000001, 0.672
OPEN_BC, 2.7176099019579532e-05, 1.2661832971606032e-09, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 1.965916633605957, 0.25599999999999995, 0.27420000000000005
OPEN_BC, 1.768034098586649e-05, 2.6511176462711416e-08, 0.0, 1000, 100, 15, 10, 5000, 0, 0, 2.1542911529541016, 0.11699999999999999, 0.10460000000000001
PERIODIC_BC, 0.001778135309256658, 1.1466889666067965e-05, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.2808034420013428, 0.11400000000000002, 0.1076
PERIODIC_BC, 0.001330557105883843, 2.1666675622652685, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 1.0018309354782104, 0.72, 0.56
PERIODIC_BC, 0.0004985703354072712, 1.7046815126386908e-14, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.7895480394363403, 0.782, 0.573
PERIODIC_BC, 0.027045594673017113, 4.619701071771471e-08, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 8.524391469178287e+24, 0.096, 0.09839999999999996
PERIODIC_BC, 1.2324127609336096e-07, 1241035.2985253022, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.3025810718536377, 0.11599999999999999, 0.11419999999999997
PERIODIC_BC, 0.006053262073122571, 5.886417508922632e-05, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 3.4439425468444824, 0.19399999999999998, 0.1746000000000001
PERIODIC_BC, 0.0001281942266125603, 210.12746668663416, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.3518558442592621, 0.9070000000000003, 0.782
PERIODIC_BC, 0.0005350384823854012, 3.4410965949656986e-08, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 1.207401990890503, 0.7190000000000001, 0.6017999999999999
PERIODIC_BC, 0.026723173054454197, 0.00010147013302238617, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 9.405838077917468e+22, 0.077, 0.0868
PERIODIC_BC, 0.0010707999837459008, 3.9968366187271335e-09, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 1.2926671504974365, 0.619, 0.5296
PERIODIC_BC, 0.001, 100000.0, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 1.4488494396209717, 0.536, 0.5004000000000001
PERIODIC_BC, 1e-05, 1e-11, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 1.8622229099273682, 0.253, 0.3133999999999999
PERIODIC_BC, 1.8115203339831354e-06, 8.343645653956452e-12, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 2.3020224571228027, 0.11599999999999999, 0.11419999999999997
PERIODIC_BC, 0.012378322541446954, 2.1133756765354464e-08, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 47.30215072631836, 0.10800000000000001, 0.09940000000000002
PERIODIC_BC, 1.431777184480418e-05, 1.1264149198115638, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 1.7418186664581299, 0.376, 0.36979999999999996
PERIODIC_BC, 0.0002333925445105824, 6411.75532375438, 0.0, 1000, 100, 15, 10, 5000, 0, 1, 0.9501314163208008, 0.7300000000000001, 0.4964
